,device_name,mac_addr,eddystone_instance_id,rssi,timestamp
2021-04-23 19:06:09.814,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-49.0,2021-04-23 19:06:09.814
2021-04-23 19:06:09.822,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-87.0,2021-04-23 19:06:09.822
2021-04-23 19:06:09.849,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-95.0,2021-04-23 19:06:09.849
2021-04-23 19:06:09.905,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-75.0,2021-04-23 19:06:09.905
2021-04-23 19:06:10.216,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-72.0,2021-04-23 19:06:10.216
2021-04-23 19:06:10.236,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-85.0,2021-04-23 19:06:10.236
2021-04-23 19:06:10.246,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-52.0,2021-04-23 19:06:10.246
2021-04-23 19:06:10.271,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-93.0,2021-04-23 19:06:10.271
2021-04-23 19:06:10.634,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-73.0,2021-04-23 19:06:10.634
2021-04-23 19:06:10.656,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-84.0,2021-04-23 19:06:10.656
2021-04-23 19:06:10.666,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-51.0,2021-04-23 19:06:10.666
2021-04-23 19:06:10.680,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-95.0,2021-04-23 19:06:10.680
2021-04-23 19:06:10.967,AgileVision Beacon,C1:E2:F7:D0:6B:8C,000000000006,-84.0,2021-04-23 19:06:10.967
2021-04-23 19:06:11.061,AgileVision Beacon,E6:19:C3:98:50:7C,000000000004,-73.0,2021-04-23 19:06:11.061
2021-04-23 19:06:11.089,AgileVision Beacon,FB:48:A7:41:3F:C8,000000000003,-53.0,2021-04-23 19:06:11.089
2021-04-23 19:06:11.105,AgileVision Beacon,F7:7C:03:9B:24:1D,000000000005,-97.0,2021-04-23 19:06:11.105
